id,type,reactions,comments,shares,likes,loves,wows,hahas,sads,angrys
1824,photo,52,0,0,52,0,0,0,0,0
1825,photo,79,1,0,79,0,0,0,0,0
1826,photo,49,1,0,49,0,0,0,0,0
1827,photo,31,0,0,31,0,0,0,0,0
1828,photo,7,0,2,7,0,0,0,0,0
1829,photo,6,0,2,6,0,0,0,0,0
1830,photo,7,0,0,7,0,0,0,0,0
1831,photo,5,1,1,5,0,0,0,0,0
1832,photo,18,1,0,18,0,0,0,0,0
1833,photo,32,0,7,32,0,0,0,0,0
1834,photo,33,1,0,33,0,0,0,0,0
1835,photo,97,0,0,97,0,0,0,0,0
1836,photo,102,16,0,102,0,0,0,0,0
1837,photo,38,10,0,38,0,0,0,0,0
1838,photo,16,2,0,16,0,0,0,0,0
1839,photo,3,1,2,3,0,0,0,0,0
1840,photo,27,0,5,27,0,0,0,0,0
1841,photo,78,4,35,78,0,0,0,0,0
1842,photo,29,0,0,29,0,0,0,0,0
1843,photo,66,9,0,66,0,0,0,0,0
1844,photo,78,16,0,78,0,0,0,0,0
1845,photo,57,9,1,57,0,0,0,0,0
1846,photo,19,4,0,19,0,0,0,0,0
1847,photo,82,14,0,82,0,0,0,0,0
1848,photo,5,4,1,5,0,0,0,0,0
1849,photo,52,5,0,52,0,0,0,0,0
1850,photo,45,14,0,45,0,0,0,0,0
1851,status,41,19,11,41,0,0,0,0,0
1852,photo,55,10,0,55,0,0,0,0,0
1853,photo,40,1,0,40,0,0,0,0,0
1854,photo,48,4,0,48,0,0,0,0,0
1855,photo,53,7,0,53,0,0,0,0,0
1856,photo,5,0,0,5,0,0,0,0,0
1857,photo,0,0,0,0,0,0,0,0,0
1858,photo,74,6,0,74,0,0,0,0,0
1859,photo,7,1,2,7,0,0,0,0,0
1860,photo,96,214,0,96,0,0,0,0,0
1861,photo,43,2,0,43,0,0,0,0,0
1862,photo,13,3,0,13,0,0,0,0,0
1863,photo,28,3,0,28,0,0,0,0,0
1864,photo,34,0,1,34,0,0,0,0,0
1865,photo,83,1,0,83,0,0,0,0,0
1866,photo,7,0,0,7,0,0,0,0,0
1867,photo,34,0,0,34,0,0,0,0,0
1868,photo,97,3,0,97,0,0,0,0,0
1869,photo,24,4,0,24,0,0,0,0,0
1870,photo,106,18,0,106,0,0,0,0,0
1871,photo,131,4,0,131,0,0,0,0,0
1872,photo,132,7,0,132,0,0,0,0,0
1873,photo,79,5,0,79,0,0,0,0,0
1874,photo,71,2,7,71,0,0,0,0,0
1875,photo,55,8,5,55,0,0,0,0,0
1876,photo,51,9,0,51,0,0,0,0,0
1877,photo,46,3,1,46,0,0,0,0,0
1878,photo,5,2,2,5,0,0,0,0,0
1879,photo,52,5,0,52,0,0,0,0,0
1880,photo,18,0,0,18,0,0,0,0,0
1881,photo,207,13,0,207,0,0,0,0,0
1882,photo,105,5,0,105,0,0,0,0,0
1883,photo,30,0,0,30,0,0,0,0,0
1884,photo,32,0,0,32,0,0,0,0,0
1885,photo,44,10,0,44,0,0,0,0,0
1886,photo,100,28,1,100,0,0,0,0,0
1887,photo,58,4,0,58,0,0,0,0,0
1888,photo,22,1,0,22,0,0,0,0,0
1889,photo,26,0,0,26,0,0,0,0,0
1890,photo,45,4,0,45,0,0,0,0,0
1891,photo,21,0,0,21,0,0,0,0,0
1892,photo,75,15,0,75,0,0,0,0,0
1893,photo,21,0,1,21,0,0,0,0,0
1894,photo,72,23,0,72,0,0,0,0,0
1895,photo,50,1,0,50,0,0,0,0,0
1896,photo,26,6,0,26,0,0,0,0,0
1897,photo,46,9,0,46,0,0,0,0,0
1898,photo,80,7,0,80,0,0,0,0,0
1899,photo,41,11,0,41,0,0,0,0,0
1900,photo,69,6,0,69,0,0,0,0,0
1901,photo,3,2,2,3,0,0,0,0,0
1902,photo,21,4,0,21,0,0,0,0,0
1903,photo,64,1,0,64,0,0,0,0,0
1904,photo,60,19,0,60,0,0,0,0,0
1905,photo,25,3,0,25,0,0,0,0,0
1906,photo,48,17,0,48,0,0,0,0,0
1907,photo,45,4,0,45,0,0,0,0,0
1908,photo,2,0,1,2,0,0,0,0,0
1909,photo,7,0,1,7,0,0,0,0,0
1910,photo,61,13,0,61,0,0,0,0,0
1911,photo,16,9,0,16,0,0,0,0,0
1912,photo,27,3,0,27,0,0,0,0,0
1913,photo,42,16,11,42,0,0,0,0,0
1914,photo,65,0,0,65,0,0,0,0,0
1915,photo,44,4,0,44,0,0,0,0,0
1916,photo,55,12,0,55,0,0,0,0,0
1917,photo,59,7,0,59,0,0,0,0,0
1918,photo,51,6,0,51,0,0,0,0,0
1919,photo,41,1,0,41,0,0,0,0,0
1920,photo,12,5,0,12,0,0,0,0,0
1921,photo,57,7,0,57,0,0,0,0,0
1922,photo,55,7,0,55,0,0,0,0,0
1923,photo,76,4,0,76,0,0,0,0,0
1924,photo,103,14,0,103,0,0,0,0,0
1925,photo,46,2,0,46,0,0,0,0,0
1926,photo,74,14,0,74,0,0,0,0,0
1927,photo,25,0,0,25,0,0,0,0,0
1928,photo,34,0,0,34,0,0,0,0,0
1929,photo,50,1,0,50,0,0,0,0,0
1930,photo,47,0,0,47,0,0,0,0,0
1931,photo,64,2,0,64,0,0,0,0,0
1932,photo,40,1,0,40,0,0,0,0,0
1933,photo,58,1,0,58,0,0,0,0,0
1934,photo,67,3,0,67,0,0,0,0,0
1935,photo,50,3,0,50,0,0,0,0,0
1936,photo,53,1,0,53,0,0,0,0,0
1937,photo,67,8,0,67,0,0,0,0,0
1938,photo,90,12,0,90,0,0,0,0,0
1939,photo,60,2,0,60,0,0,0,0,0
1940,photo,30,8,0,30,0,0,0,0,0
1941,photo,52,10,0,52,0,0,0,0,0
1942,photo,5,0,0,5,0,0,0,0,0
1943,photo,56,14,0,56,0,0,0,0,0
1944,photo,26,2,0,26,0,0,0,0,0
1945,photo,71,11,0,71,0,0,0,0,0
1946,photo,53,4,0,53,0,0,0,0,0
1947,photo,35,2,0,35,0,0,0,0,0
1948,photo,31,2,0,31,0,0,0,0,0
1949,photo,45,0,0,45,0,0,0,0,0
1950,photo,20,1,0,20,0,0,0,0,0
1951,photo,3,2,2,3,0,0,0,0,0
1952,photo,48,0,0,48,0,0,0,0,0
1953,photo,18,0,0,18,0,0,0,0,0
1954,photo,56,10,0,56,0,0,0,0,0
1955,photo,64,2,1,64,0,0,0,0,0
1956,photo,63,0,0,63,0,0,0,0,0
1957,photo,40,9,2,40,0,0,0,0,0
1958,photo,92,1,0,92,0,0,0,0,0
1959,photo,53,0,0,53,0,0,0,0,0
1960,photo,33,0,0,33,0,0,0,0,0
1961,photo,84,6,0,84,0,0,0,0,0
1962,photo,87,11,0,87,0,0,0,0,0
1963,photo,26,0,0,26,0,0,0,0,0
1964,photo,22,0,0,22,0,0,0,0,0
1965,photo,78,0,5,78,0,0,0,0,0
1966,photo,67,6,7,67,0,0,0,0,0
1967,photo,26,1,0,26,0,0,0,0,0
1968,photo,14,0,0,14,0,0,0,0,0
1969,photo,18,0,0,18,0,0,0,0,0
1970,photo,24,0,0,24,0,0,0,0,0
1971,photo,27,0,0,27,0,0,0,0,0
1972,photo,30,11,0,30,0,0,0,0,0
1973,photo,34,4,0,34,0,0,0,0,0
1974,photo,26,1,1,26,0,0,0,0,0
1975,photo,38,4,0,38,0,0,0,0,0
1976,photo,55,5,0,55,0,0,0,0,0
1977,photo,80,9,0,80,0,0,0,0,0
1978,photo,33,3,0,33,0,0,0,0,0
1979,photo,44,10,0,44,0,0,0,0,0
1980,photo,41,7,0,41,0,0,0,0,0
1981,photo,30,3,0,30,0,0,0,0,0
1982,photo,34,0,0,34,0,0,0,0,0
1983,photo,30,0,0,30,0,0,0,0,0
1984,photo,38,9,0,38,0,0,0,0,0
1985,photo,24,4,1,24,0,0,0,0,0
1986,photo,37,2,0,37,0,0,0,0,0
1987,photo,18,3,0,18,0,0,0,0,0
1988,photo,55,15,0,55,0,0,0,0,0
1989,photo,54,3,0,54,0,0,0,0,0
1990,photo,67,11,0,67,0,0,0,0,0
1991,photo,94,18,0,94,0,0,0,0,0
1992,photo,41,2,0,41,0,0,0,0,0
1993,photo,36,2,0,36,0,0,0,0,0
1994,photo,65,3,1,65,0,0,0,0,0
1995,photo,90,6,0,90,0,0,0,0,0
1996,photo,42,2,0,42,0,0,0,0,0
1997,photo,48,4,0,48,0,0,0,0,0
1998,photo,45,10,0,45,0,0,0,0,0
1999,photo,47,2,0,47,0,0,0,0,0
2000,photo,31,4,0,31,0,0,0,0,0
2001,photo,105,23,0,105,0,0,0,0,0
2002,photo,48,0,0,48,0,0,0,0,0
2003,photo,37,5,0,37,0,0,0,0,0
2004,photo,5,2,2,5,0,0,0,0,0
2005,photo,11,0,0,11,0,0,0,0,0
2006,photo,27,11,1,27,0,0,0,0,0
2007,photo,2,0,0,2,0,0,0,0,0
2008,photo,43,1,0,43,0,0,0,0,0
2009,photo,46,4,0,46,0,0,0,0,0
2010,photo,53,3,0,53,0,0,0,0,0
2011,photo,10,1,0,10,0,0,0,0,0
2012,photo,22,5,0,22,0,0,0,0,0
2013,photo,12,3,1,12,0,0,0,0,0
2014,photo,50,6,0,50,0,0,0,0,0
2015,photo,47,13,0,47,0,0,0,0,0
2016,photo,14,0,2,14,0,0,0,0,0
2017,photo,1,0,0,1,0,0,0,0,0
2018,photo,25,18,0,25,0,0,0,0,0
2019,photo,16,0,0,16,0,0,0,0,0
2020,photo,46,2,0,46,0,0,0,0,0
2021,photo,76,1,0,76,0,0,0,0,0
2022,photo,16,0,0,16,0,0,0,0,0
2023,photo,40,1,0,40,0,0,0,0,0
2024,photo,83,15,0,83,0,0,0,0,0
2025,photo,89,28,1,89,0,0,0,0,0
2026,photo,30,0,0,30,0,0,0,0,0
2027,photo,12,0,0,12,0,0,0,0,0
2028,photo,52,17,0,52,0,0,0,0,0
2029,photo,58,19,0,58,0,0,0,0,0
2030,photo,22,4,0,22,0,0,0,0,0
2031,photo,6,0,0,6,0,0,0,0,0
2032,photo,30,2,0,30,0,0,0,0,0
2033,photo,58,5,0,58,0,0,0,0,0
2034,photo,32,4,5,32,0,0,0,0,0
2035,photo,48,5,0,48,0,0,0,0,0
2036,photo,43,4,0,43,0,0,0,0,0
2037,photo,30,0,0,30,0,0,0,0,0
2038,photo,41,3,0,41,0,0,0,0,0
2039,photo,42,10,0,42,0,0,0,0,0
2040,photo,59,6,0,59,0,0,0,0,0
2041,photo,17,0,0,17,0,0,0,0,0
2042,photo,47,0,0,47,0,0,0,0,0
2043,photo,14,5,2,14,0,0,0,0,0
2044,photo,12,1,0,12,0,0,0,0,0
2045,status,30,23,4,30,0,0,0,0,0
2046,photo,25,3,1,25,0,0,0,0,0
2047,photo,0,0,0,0,0,0,0,0,0
2048,photo,4,1,0,4,0,0,0,0,0
2049,photo,3,0,0,3,0,0,0,0,0
2050,photo,5,1,1,5,0,0,0,0,0
2051,photo,2,0,0,2,0,0,0,0,0
2052,photo,11,6,0,11,0,0,0,0,0
2053,photo,38,10,0,38,0,0,0,0,0
2054,photo,13,0,0,13,0,0,0,0,0
2055,photo,19,0,0,19,0,0,0,0,0
2056,photo,15,1,0,15,0,0,0,0,0
2057,photo,21,4,0,21,0,0,0,0,0
2058,photo,42,2,0,42,0,0,0,0,0
2059,photo,12,0,0,12,0,0,0,0,0
2060,photo,19,4,0,19,0,0,0,0,0
2061,photo,24,2,0,24,0,0,0,0,0
2062,photo,32,1,0,32,0,0,0,0,0
2063,photo,15,8,0,15,0,0,0,0,0
2064,photo,22,4,0,22,0,0,0,0,0
2065,photo,33,8,0,33,0,0,0,0,0
2066,photo,11,6,0,11,0,0,0,0,0
2067,photo,47,6,0,47,0,0,0,0,0
2068,photo,41,7,0,41,0,0,0,0,0
2069,photo,29,4,0,29,0,0,0,0,0
2070,photo,48,7,0,48,0,0,0,0,0
2071,photo,13,8,0,13,0,0,0,0,0
2072,photo,32,2,0,32,0,0,0,0,0
2073,photo,42,8,0,42,0,0,0,0,0
2074,photo,26,5,0,26,0,0,0,0,0
2075,photo,67,25,0,67,0,0,0,0,0
2076,photo,23,4,0,23,0,0,0,0,0
2077,photo,33,4,0,33,0,0,0,0,0
2078,photo,25,3,0,25,0,0,0,0,0
2079,photo,22,4,0,22,0,0,0,0,0
2080,photo,26,0,0,26,0,0,0,0,0
2081,photo,38,10,0,38,0,0,0,0,0
2082,photo,50,19,0,50,0,0,0,0,0
2083,photo,29,1,0,29,0,0,0,0,0
2084,photo,26,0,0,26,0,0,0,0,0
2085,photo,25,1,0,25,0,0,0,0,0
2086,photo,15,0,0,15,0,0,0,0,0
2087,photo,18,0,0,18,0,0,0,0,0
2088,photo,28,4,0,28,0,0,0,0,0
2089,photo,14,23,0,14,0,0,0,0,0
2090,photo,20,2,0,20,0,0,0,0,0
2091,photo,17,21,0,17,0,0,0,0,0
2092,photo,34,0,0,34,0,0,0,0,0
2093,photo,17,11,0,17,0,0,0,0,0
2094,photo,40,6,0,40,0,0,0,0,0
2095,photo,21,5,0,21,0,0,0,0,0
2096,photo,14,4,0,14,0,0,0,0,0
2097,photo,43,17,1,43,0,0,0,0,0
2098,photo,27,5,0,27,0,0,0,0,0
2099,photo,35,22,0,35,0,0,0,0,0
2100,photo,24,1,0,24,0,0,0,0,0
2101,photo,30,4,0,30,0,0,0,0,0
2102,photo,21,2,0,21,0,0,0,0,0
2103,photo,41,7,0,41,0,0,0,0,0
2104,photo,15,1,0,15,0,0,0,0,0
2105,photo,27,6,0,27,0,0,0,0,0
2106,photo,22,3,0,22,0,0,0,0,0
2107,photo,36,13,0,36,0,0,0,0,0
2108,photo,10,18,0,10,0,0,0,0,0
2109,photo,24,5,0,24,0,0,0,0,0
2110,photo,19,1,0,19,0,0,0,0,0
2111,photo,63,25,0,63,0,0,0,0,0
2112,photo,47,15,0,47,0,0,0,0,0
2113,photo,57,11,0,57,0,0,0,0,0
2114,photo,14,4,0,14,0,0,0,0,0
2115,photo,35,5,0,35,0,0,0,0,0
2116,photo,12,0,2,12,0,0,0,0,0
2117,photo,15,3,0,15,0,0,0,0,0
2118,photo,31,15,0,31,0,0,0,0,0
2119,photo,45,5,0,45,0,0,0,0,0
2120,photo,35,24,0,35,0,0,0,0,0
2121,photo,38,30,0,38,0,0,0,0,0
2122,photo,26,11,0,26,0,0,0,0,0
2123,photo,35,11,0,35,0,0,0,0,0
2124,photo,53,36,0,53,0,0,0,0,0
2125,photo,26,0,0,26,0,0,0,0,0
2126,photo,16,0,0,16,0,0,0,0,0
2127,photo,28,7,0,28,0,0,0,0,0
2128,photo,16,1,1,16,0,0,0,0,0
2129,photo,26,16,0,26,0,0,0,0,0
2130,photo,26,11,0,26,0,0,0,0,0
2131,photo,27,14,0,27,0,0,0,0,0
2132,photo,33,6,0,33,0,0,0,0,0
2133,photo,27,8,0,27,0,0,0,0,0
2134,photo,37,10,0,37,0,0,0,0,0
2135,photo,23,5,1,23,0,0,0,0,0
2136,photo,13,0,0,13,0,0,0,0,0
2137,photo,17,8,0,17,0,0,0,0,0
2138,photo,30,0,0,30,0,0,0,0,0
2139,photo,18,13,0,18,0,0,0,0,0
2140,photo,30,9,0,30,0,0,0,0,0
2141,photo,26,7,0,26,0,0,0,0,0
2142,photo,16,9,0,16,0,0,0,0,0
2143,photo,47,5,0,47,0,0,0,0,0
2144,photo,16,7,0,16,0,0,0,0,0
2145,photo,13,9,1,13,0,0,0,0,0
2146,photo,32,13,1,32,0,0,0,0,0
2147,photo,21,11,0,21,0,0,0,0,0
2148,photo,24,8,0,24,0,0,0,0,0
2149,photo,22,4,0,22,0,0,0,0,0
2150,photo,14,2,0,14,0,0,0,0,0
2151,photo,24,12,3,24,0,0,0,0,0
2152,photo,24,1,0,24,0,0,0,0,0
2153,photo,18,20,0,18,0,0,0,0,0
2154,photo,14,2,0,14,0,0,0,0,0
2155,photo,17,4,0,17,0,0,0,0,0
2156,photo,14,0,0,14,0,0,0,0,0
2157,photo,16,0,0,16,0,0,0,0,0
2158,photo,15,0,0,15,0,0,0,0,0
2159,photo,11,1,0,11,0,0,0,0,0
2160,photo,15,0,1,15,0,0,0,0,0
2161,photo,15,1,0,15,0,0,0,0,0
2162,photo,16,8,0,16,0,0,0,0,0
2163,photo,14,0,0,14,0,0,0,0,0
2164,photo,17,0,0,17,0,0,0,0,0
2165,photo,0,0,1,0,0,0,0,0,0
2166,photo,32,2,0,32,0,0,0,0,0
2167,photo,29,7,5,29,0,0,0,0,0
2168,photo,19,12,0,19,0,0,0,0,0
2169,photo,49,5,0,49,0,0,0,0,0
2170,photo,62,25,1,62,0,0,0,0,0
2171,photo,9,11,0,9,0,0,0,0,0
2172,photo,33,7,0,33,0,0,0,0,0
2173,photo,40,28,0,40,0,0,0,0,0
2174,photo,46,31,0,46,0,0,0,0,0
2175,photo,31,11,0,31,0,0,0,0,0
2176,photo,15,0,0,15,0,0,0,0,0
2177,photo,40,17,0,40,0,0,0,0,0
2178,photo,20,5,0,20,0,0,0,0,0
2179,photo,32,9,1,32,0,0,0,0,0
2180,photo,34,11,1,34,0,0,0,0,0
2181,photo,14,0,0,14,0,0,0,0,0
2182,photo,16,10,2,16,0,0,0,0,0
2183,photo,5,0,1,5,0,0,0,0,0
2184,photo,21,0,0,21,0,0,0,0,0
2185,photo,18,1,0,18,0,0,0,0,0
2186,photo,14,6,0,14,0,0,0,0,0
2187,photo,23,0,0,23,0,0,0,0,0
2188,photo,20,22,0,20,0,0,0,0,0
2189,photo,24,24,0,24,0,0,0,0,0
2190,photo,24,30,0,24,0,0,0,0,0
2191,photo,19,25,0,19,0,0,0,0,0
2192,photo,4,0,0,4,0,0,0,0,0
2193,photo,35,7,0,35,0,0,0,0,0
2194,photo,15,4,0,15,0,0,0,0,0
2195,photo,16,2,0,16,0,0,0,0,0
2196,photo,20,6,0,20,0,0,0,0,0
2197,photo,15,18,0,15,0,0,0,0,0
2198,photo,23,4,0,23,0,0,0,0,0
2199,photo,18,0,0,18,0,0,0,0,0
2200,photo,16,4,0,16,0,0,0,0,0
2201,photo,17,1,0,17,0,0,0,0,0
2202,photo,15,11,0,15,0,0,0,0,0
2203,photo,27,1,0,27,0,0,0,0,0
2204,photo,25,6,0,25,0,0,0,0,0
2205,photo,24,8,0,24,0,0,0,0,0
2206,photo,14,0,1,14,0,0,0,0,0
2207,photo,22,3,0,22,0,0,0,0,0
2208,photo,15,3,0,15,0,0,0,0,0
2209,photo,34,44,0,34,0,0,0,0,0
2210,photo,14,3,9,14,0,0,0,0,0
2211,photo,18,2,0,18,0,0,0,0,0
2212,photo,13,3,0,13,0,0,0,0,0
2213,photo,14,1,0,14,0,0,0,0,0
2214,photo,30,0,1,30,0,0,0,0,0
2215,photo,30,8,0,30,0,0,0,0,0
2216,photo,18,3,0,18,0,0,0,0,0
2217,photo,24,2,0,24,0,0,0,0,0
2218,photo,21,0,0,21,0,0,0,0,0
2219,photo,8,16,0,8,0,0,0,0,0
2220,photo,23,3,0,23,0,0,0,0,0
2221,photo,27,2,0,27,0,0,0,0,0
2222,photo,9,10,0,9,0,0,0,0,0
2223,photo,12,0,0,12,0,0,0,0,0
2224,photo,22,1,0,22,0,0,0,0,0
2225,photo,18,6,0,18,0,0,0,0,0
2226,photo,17,6,0,17,0,0,0,0,0
2227,photo,18,0,0,18,0,0,0,0,0
2228,photo,16,2,0,16,0,0,0,0,0
2229,photo,16,0,0,16,0,0,0,0,0
2230,photo,13,2,2,13,0,0,0,0,0
2231,photo,19,3,0,19,0,0,0,0,0
2232,photo,2,0,0,2,0,0,0,0,0
2233,photo,17,1,0,17,0,0,0,0,0
2234,photo,14,1,0,14,0,0,0,0,0
2235,photo,2,0,0,2,0,0,0,0,0
2236,photo,13,2,0,13,0,0,0,0,0
2237,photo,1,0,0,1,0,0,0,0,0
2238,photo,18,3,0,18,0,0,0,0,0
2239,photo,23,7,0,23,0,0,0,0,0
2240,photo,17,1,0,17,0,0,0,0,0
2241,photo,17,6,0,17,0,0,0,0,0
2242,photo,14,1,0,14,0,0,0,0,0
2243,photo,1,0,1,1,0,0,0,0,0
2244,photo,10,1,0,10,0,0,0,0,0
2245,photo,13,12,0,13,0,0,0,0,0
2246,photo,35,25,0,35,0,0,0,0,0
2247,photo,4,0,0,4,0,0,0,0,0
2248,photo,15,12,0,15,0,0,0,0,0
2249,photo,11,6,0,11,0,0,0,0,0
2250,photo,8,15,0,8,0,0,0,0,0
2251,photo,11,3,0,11,0,0,0,0,0
2252,photo,22,6,0,22,0,0,0,0,0
2253,photo,10,6,0,10,0,0,0,0,0
2254,photo,11,6,0,11,0,0,0,0,0
2255,photo,14,23,0,14,0,0,0,0,0
2256,photo,21,5,0,21,0,0,0,0,0
2257,photo,26,4,0,26,0,0,0,0,0
2258,photo,25,9,1,25,0,0,0,0,0
2259,photo,10,11,0,10,0,0,0,0,0
2260,photo,11,2,0,11,0,0,0,0,0
2261,photo,22,7,0,22,0,0,0,0,0
2262,photo,11,1,1,11,0,0,0,0,0
2263,photo,14,2,1,14,0,0,0,0,0
2264,photo,33,17,0,33,0,0,0,0,0
2265,photo,19,7,0,19,0,0,0,0,0
2266,photo,27,2,0,27,0,0,0,0,0
2267,photo,20,16,0,20,0,0,0,0,0
2268,photo,27,13,0,27,0,0,0,0,0
2269,photo,19,18,0,19,0,0,0,0,0
2270,photo,10,9,0,10,0,0,0,0,0
2271,photo,27,18,1,27,0,0,0,0,0
2272,photo,87,28,0,87,0,0,0,0,0
2273,photo,24,7,0,24,0,0,0,0,0
2274,photo,16,4,0,16,0,0,0,0,0
2275,photo,12,0,0,12,0,0,0,0,0
2276,photo,16,5,0,16,0,0,0,0,0
2277,photo,21,8,0,21,0,0,0,0,0
2278,photo,28,1,1,28,0,0,0,0,0
2279,photo,20,0,0,20,0,0,0,0,0
2280,photo,15,3,0,15,0,0,0,0,0
2281,photo,36,5,0,36,0,0,0,0,0
2282,photo,23,0,0,23,0,0,0,0,0
2283,photo,31,12,0,31,0,0,0,0,0
2284,photo,19,0,0,19,0,0,0,0,0
2285,photo,16,4,0,16,0,0,0,0,0
2286,photo,30,11,0,30,0,0,0,0,0
2287,photo,22,2,0,22,0,0,0,0,0
2288,photo,14,1,2,14,0,0,0,0,0
2289,photo,11,7,0,11,0,0,0,0,0
2290,photo,21,4,0,21,0,0,0,0,0
2291,photo,30,12,0,30,0,0,0,0,0
2292,photo,37,13,0,37,0,0,0,0,0
2293,photo,10,5,0,10,0,0,0,0,0
2294,photo,21,6,0,21,0,0,0,0,0
2295,photo,15,1,0,15,0,0,0,0,0
2296,photo,19,3,0,19,0,0,0,0,0
2297,photo,14,1,0,14,0,0,0,0,0
2298,photo,14,8,0,14,0,0,0,0,0
2299,photo,12,0,0,12,0,0,0,0,0
2300,photo,14,12,0,14,0,0,0,0,0
2301,photo,16,3,0,16,0,0,0,0,0
2302,photo,16,0,0,16,0,0,0,0,0
2303,photo,20,3,0,20,0,0,0,0,0
2304,photo,30,10,0,30,0,0,0,0,0
2305,photo,14,8,0,14,0,0,0,0,0
2306,photo,35,10,0,35,0,0,0,0,0
2307,photo,21,4,0,21,0,0,0,0,0
2308,photo,20,7,0,20,0,0,0,0,0
2309,photo,22,10,13,22,0,0,0,0,0
2310,photo,32,14,0,32,0,0,0,0,0
2311,photo,12,6,0,12,0,0,0,0,0
2312,photo,11,6,0,11,0,0,0,0,0
2313,photo,12,0,0,12,0,0,0,0,0
2314,photo,12,0,0,12,0,0,0,0,0
2315,photo,16,1,0,16,0,0,0,0,0
2316,photo,21,5,1,21,0,0,0,0,0
2317,photo,14,2,0,14,0,0,0,0,0
2318,photo,16,3,0,16,0,0,0,0,0
2319,photo,14,0,0,14,0,0,0,0,0
2320,photo,22,12,0,22,0,0,0,0,0
2321,photo,18,0,0,18,0,0,0,0,0
2322,photo,25,10,0,25,0,0,0,0,0
2323,photo,22,28,0,22,0,0,0,0,0
2324,photo,9,6,0,9,0,0,0,0,0
2325,photo,16,3,0,16,0,0,0,0,0
2326,photo,16,7,0,16,0,0,0,0,0
2327,photo,25,5,0,25,0,0,0,0,0
2328,photo,12,5,0,12,0,0,0,0,0
2329,photo,18,2,0,18,0,0,0,0,0
2330,photo,19,12,0,19,0,0,0,0,0
2331,photo,25,0,0,25,0,0,0,0,0
2332,photo,23,11,0,23,0,0,0,0,0
2333,photo,14,3,0,14,0,0,0,0,0
2334,photo,24,3,0,24,0,0,0,0,0
2335,photo,36,8,0,36,0,0,0,0,0
2336,photo,22,6,0,22,0,0,0,0,0
2337,photo,28,6,0,28,0,0,0,0,0
2338,photo,15,10,0,15,0,0,0,0,0
2339,photo,22,5,0,22,0,0,0,0,0
2340,photo,21,1,0,21,0,0,0,0,0
2341,photo,32,7,0,32,0,0,0,0,0
2342,photo,19,1,3,19,0,0,0,0,0
2343,photo,12,5,0,12,0,0,0,0,0
2344,photo,12,3,0,12,0,0,0,0,0
2345,photo,22,11,0,22,0,0,0,0,0
2346,photo,17,2,0,17,0,0,0,0,0
2347,photo,13,0,0,13,0,0,0,0,0
2348,photo,24,2,2,24,0,0,0,0,0
2349,photo,16,10,0,16,0,0,0,0,0
2350,photo,19,17,1,19,0,0,0,0,0
2351,photo,31,13,0,31,0,0,0,0,0
2352,photo,11,4,0,11,0,0,0,0,0
2353,photo,21,0,0,21,0,0,0,0,0
2354,photo,17,5,0,17,0,0,0,0,0
2355,photo,23,0,0,23,0,0,0,0,0
2356,photo,17,2,2,17,0,0,0,0,0
2357,photo,23,2,2,23,0,0,0,0,0
2358,photo,16,3,0,16,0,0,0,0,0
2359,photo,22,4,0,22,0,0,0,0,0
2360,photo,14,7,0,14,0,0,0,0,0
2361,photo,25,2,0,25,0,0,0,0,0
2362,photo,19,6,0,19,0,0,0,0,0
2363,photo,11,4,0,11,0,0,0,0,0
2364,photo,21,12,0,21,0,0,0,0,0
2365,photo,12,2,0,12,0,0,0,0,0
2366,photo,12,14,0,12,0,0,0,0,0
2367,photo,12,0,0,12,0,0,0,0,0
2368,photo,36,5,0,36,0,0,0,0,0
2369,photo,12,1,0,12,0,0,0,0,0
2370,photo,11,0,0,11,0,0,0,0,0
2371,photo,38,10,0,38,0,0,0,0,0
2372,photo,37,8,0,37,0,0,0,0,0
2373,photo,49,10,0,49,0,0,0,0,0
2374,photo,11,1,0,11,0,0,0,0,0
2375,photo,10,5,0,10,0,0,0,0,0
2376,photo,9,4,0,9,0,0,0,0,0
2377,photo,13,4,0,13,0,0,0,0,0
2378,photo,18,4,0,18,0,0,0,0,0
2379,photo,15,0,0,15,0,0,0,0,0
2380,photo,14,0,0,14,0,0,0,0,0
2381,photo,21,1,0,21,0,0,0,0,0
2382,photo,14,3,0,14,0,0,0,0,0
2383,photo,16,3,0,16,0,0,0,0,0
2384,photo,12,4,0,12,0,0,0,0,0
2385,photo,12,2,0,12,0,0,0,0,0
2386,photo,23,5,0,23,0,0,0,0,0
2387,photo,35,9,1,35,0,0,0,0,0
2388,photo,18,4,0,18,0,0,0,0,0
2389,photo,12,1,0,12,0,0,0,0,0
2390,photo,25,1,0,25,0,0,0,0,0
2391,photo,19,10,0,19,0,0,0,0,0
2392,photo,13,5,0,13,0,0,0,0,0
2393,photo,14,11,0,14,0,0,0,0,0
2394,photo,36,13,0,36,0,0,0,0,0
2395,photo,37,13,0,37,0,0,0,0,0
2396,photo,16,8,0,16,0,0,0,0,0
2397,photo,25,15,0,25,0,0,0,0,0
2398,photo,28,4,0,28,0,0,0,0,0
2399,photo,26,3,0,26,0,0,0,0,0
2400,photo,32,6,0,32,0,0,0,0,0
2401,photo,35,12,0,35,0,0,0,0,0
2402,photo,26,2,0,26,0,0,0,0,0
2403,photo,21,3,0,21,0,0,0,0,0
2404,photo,34,12,0,34,0,0,0,0,0
2405,photo,10,7,0,10,0,0,0,0,0
